TotalChans=3
ModelNumber=HPHT
SerialNumber=E139
VersionNumber=900
CalibrationDate=08/08/2011
MaximumPressure=16000
LinearAdjustment=1.03
LinearOffset=1.0
CalibrationSampleRate=4
CurrentSampleRate=16
[Data]
POR, 44229.57987112, 16
8.8425, 0.0000, 143.9644,
8.8640, 0.0000, 143.9668,
8.8601, 0.0000, 143.9688,
8.8249, 0.0000, 143.9724,
8.8152, 0.0000, 143.9761,
8.8396, 0.0000, 143.9798,
8.8825, 0.0000, 143.9809,
8.8308, 0.0000, 143.9831,
8.8152, 0.0000, 143.9862,
8.8142, 0.0000, 143.9892,
8.8308, 0.0000, 143.9931,
8.8327, 0.0000, 143.9961,
8.7917, 0.0000, 143.9993,
8.7839, 0.0000, 144.0032,
8.8005, 0.0000, 144.0062,
8.8249, 0.0000, 144.0091,
8.7722, 0.0000, 144.0119,
8.7214, 0.0000, 144.0171,
8.7449, 0.0000, 144.0225,
8.7058, 0.0000, 144.0276,
8.6824, 0.0000, 144.0336,
8.6687, 0.0000, 144.0389,
8.7009, 0.0000, 144.0439,
8.6882, 0.0000, 144.0465,
8.6736, 0.0000, 144.0504,
8.6814, 0.0000, 144.0556,
8.6902, 0.0000, 144.0603,
8.7068, 0.0000, 144.0643,
8.7165, 0.0000, 144.0684,
8.7468, 0.0000, 144.0720,
8.7595, 0.0000, 144.0730,
8.7429, 0.0000, 144.0750,
8.7282, 0.0000, 144.0783,
8.7273, 0.0000, 144.0810,
8.7419, 0.0000, 144.0823,
8.7497, 0.0000, 144.0840,
8.7156, 0.0000, 144.0869,
8.6589, 0.0000, 144.0907,
8.6657, 0.0000, 144.0939,
8.6794, 0.0000, 144.0968,
8.6247, 0.0000, 144.1024,
8.6687, 0.0000, 144.1066,
8.6531, 0.0000, 144.1098,
8.6755, 0.0000, 144.1123,
8.6804, 0.0000, 144.1144,
8.6638, 0.0000, 144.1165,
8.6833, 0.0000, 144.1171,
8.6863, 0.0000, 144.1186,
8.7146, 0.0000, 144.1199,
8.7273, 0.0000, 144.1208,
8.7048, 0.0000, 144.1208,
8.6794, 0.0000, 144.1221,
8.7146, 0.0000, 144.1231,
8.6667, 0.0000, 144.1246,
8.6618, 0.0000, 144.1268,
8.6218, 0.0000, 144.1299,
8.6423, 0.0000, 144.1335,
8.6677, 0.0000, 144.1373,
8.7195, 0.0000, 144.1380,
8.6990, 0.0000, 144.1376,
8.6745, 0.0000, 144.1388,
8.6189, 0.0000, 144.1417,
8.6413, 0.0000, 144.1445,
8.6316, 0.0000, 144.1477,
8.6560, 0.0000, 144.1509,
8.6863, 0.0000, 144.1534,
8.6804, 0.0000, 144.1547,
8.6423, 0.0000, 144.1580,
8.6384, 0.0000, 144.1622,
8.6472, 0.0000, 144.1662,
8.6511, 0.0000, 144.1685,
8.6677, 0.0000, 144.1706,
8.6833, 0.0000, 144.1728,
8.6550, 0.0000, 144.1756,
8.6999, 0.0000, 144.1779,
8.6589, 0.0000, 144.1799,
8.6423, 0.0000, 144.1838,
8.6238, 0.0000, 144.1881,
8.6501, 0.0000, 144.1911,
8.6531, 0.0000, 144.1937,
8.6697, 0.0000, 144.1955,
8.6960, 0.0000, 144.1974,
8.6999, 0.0000, 144.1974,
8.6667, 0.0000, 144.1997,
8.6609, 0.0000, 144.2024,
8.6511, 0.0000, 144.2046,
8.6579, 0.0000, 144.2065,
8.6716, 0.0000, 144.2082,
8.6472, 0.0000, 144.2108,
8.6296, 0.0000, 144.2140,
8.6316, 0.0000, 144.2168,
8.6413, 0.0000, 144.2186,
8.6482, 0.0000, 144.2186,
8.6306, 0.0000, 144.2198,
8.6042, 0.0000, 144.2210,
8.5984, 0.0000, 144.2234,
8.6462, 0.0000, 144.2242,
8.6052, 0.0000, 144.2247,
8.5769, 0.0000, 144.2252,
8.5730, 0.0000, 144.2275,
8.6179, 0.0000, 144.2285,
8.5603, 0.0000, 144.2307,
8.5534, 0.0000, 144.2336,
8.5681, 0.0000, 144.2357,
8.5671, 0.0000, 144.2374,
8.5593, 0.0000, 144.2380,
8.5349, 0.0000, 144.2392,
8.5027, 0.0000, 144.2423,
8.5193, 0.0000, 144.2445,
8.5202, 0.0000, 144.2480,
8.5388, 0.0000, 144.2508,
8.5388, 0.0000, 144.2522,
8.5173, 0.0000, 144.2554,
8.5320, 0.0000, 144.2585,
8.5241, 0.0000, 144.2634,
8.5144, 0.0000, 144.2665,
8.4997, 0.0000, 144.2688,
8.4734, 0.0000, 144.2722,
8.4831, 0.0000, 144.2755,
8.4997, 0.0000, 144.2785,
8.4939, 0.0000, 144.2806,
8.4636, 0.0000, 144.2833,
8.4480, 0.0000, 144.2861,
8.4402, 0.0000, 144.2896,
8.4363, 0.0000, 144.2921,
8.4421, 0.0000, 144.2946,
8.4558, 0.0000, 144.2966,
8.4529, 0.0000, 144.2991,
8.4841, 0.0000, 144.3010,
8.4763, 0.0000, 144.3018,
8.4568, 0.0000, 144.3043,
8.4626, 0.0000, 144.3075,
8.4294, 0.0000, 144.3104,
8.4206, 0.0000, 144.3139,
8.4236, 0.0000, 144.3163,
8.3923, 0.0000, 144.3203,
8.3689, 0.0000, 144.3250,
8.3591, 0.0000, 144.3301,
8.3933, 0.0000, 144.3329,
8.3796, 0.0000, 144.3359,
8.3796, 0.0000, 144.3387,
8.3552, 0.0000, 144.3418,
8.3845, 0.0000, 144.3452,
8.3796, 0.0000, 144.3481,
8.3318, 0.0000, 144.3519,
8.3279, 0.0000, 144.3550,
8.3396, 0.0000, 144.3575,
8.3337, 0.0000, 144.3610,
8.3327, 0.0000, 144.3639,
8.3425, 0.0000, 144.3663,
8.3240, 0.0000, 144.3689,
8.3327, 0.0000, 144.3729,
8.3288, 0.0000, 144.3763,
8.3357, 0.0000, 144.3795,
8.3005, 0.0000, 144.3818,
8.3122, 0.0000, 144.3842,
8.2995, 0.0000, 144.3872,
8.3083, 0.0000, 144.3902,
8.3347, 0.0000, 144.3908,
8.3230, 0.0000, 144.3934,
8.3142, 0.0000, 144.3958,
8.3406, 0.0000, 144.3975,
8.3259, 0.0000, 144.3980,
8.3288, 0.0000, 144.3997,
8.3171, 0.0000, 144.4014,
8.3288, 0.0000, 144.4033,
8.3386, 0.0000, 144.4042,
8.3191, 0.0000, 144.4037,
8.3220, 0.0000, 144.4047,
8.2888, 0.0000, 144.4042,
8.2449, 0.0000, 144.4057,
8.2429, 0.0000, 144.4095,
8.2517, 0.0000, 144.4117,
8.2458, 0.0000, 144.4136,
8.2458, 0.0000, 144.4155,
8.2370, 0.0000, 144.4163,
8.2038, 0.0000, 144.4179,
8.2058, 0.0000, 144.4200,
8.2087, 0.0000, 144.4221,
8.2370, 0.0000, 144.4231,
8.2302, 0.0000, 144.4229,
8.2165, 0.0000, 144.4230,
8.2029, 0.0000, 144.4247,
8.2068, 0.0000, 144.4247,
8.1824, 0.0000, 144.4255,
8.1784, 0.0000, 144.4276,
8.1599, 0.0000, 144.4305,
8.1853, 0.0000, 144.4330,
8.1736, 0.0000, 144.4352,
8.1970, 0.0000, 144.4373,
8.2156, 0.0000, 144.4378,
8.2312, 0.0000, 144.4387,
8.2048, 0.0000, 144.4393,
8.1872, 0.0000, 144.4422,
8.2175, 0.0000, 144.4435,
8.1452, 0.0000, 144.4459,
8.1589, 0.0000, 144.4502,
8.1697, 0.0000, 144.4529,
8.1843, 0.0000, 144.4548,
8.1921, 0.0000, 144.4576,
8.1950, 0.0000, 144.4601,
8.1794, 0.0000, 144.4631,
8.2087, 0.0000, 144.4659,
8.2146, 0.0000, 144.4684,
8.2058, 0.0000, 144.4709,
8.2107, 0.0000, 144.4738,
8.2058, 0.0000, 144.4755,
8.1745, 0.0000, 144.4785,
8.2214, 0.0000, 144.4806,
8.2146, 0.0000, 144.4822,
8.1745, 0.0000, 144.4861,
8.1589, 0.0000, 144.4901,
8.1531, 0.0000, 144.4935,
8.1482, 0.0000, 144.4957,
8.1521, 0.0000, 144.4978,
8.1531, 0.0000, 144.4988,
8.1794, 0.0000, 144.4997,
8.1413, 0.0000, 144.5016,
8.1609, 0.0000, 144.5031,
8.1638, 0.0000, 144.5028,
8.1345, 0.0000, 144.5057,
8.1472, 0.0000, 144.5080,
8.1247, 0.0000, 144.5116,
8.1277, 0.0000, 144.5141,
8.1579, 0.0000, 144.5166,
8.1755, 0.0000, 144.5182,
8.1628, 0.0000, 144.5203,
8.1540, 0.0000, 144.5235,
8.1570, 0.0000, 144.5256,
8.1579, 0.0000, 144.5269,
8.1638, 0.0000, 144.5291,
8.1775, 0.0000, 144.5294,
8.1882, 0.0000, 144.5293,
8.0984, 0.0000, 144.5316,
8.0954, 0.0000, 144.5346,
8.1081, 0.0000, 144.5374,
8.1296, 0.0000, 144.5369,
8.1384, 0.0000, 144.5368,
8.1355, 0.0000, 144.5364,
8.1472, 0.0000, 144.5383,
8.1482, 0.0000, 144.5393,
8.1618, 0.0000, 144.5403,
8.1648, 0.0000, 144.5414,
8.2995, 0.0000, 144.5413,
8.8513, 0.0000, 144.5182,
9.1863, 0.0000, 144.4487,
9.2556, 0.0000, 144.3336,
9.1003, 0.0000, 144.1771,
8.7917, 0.0000, 143.9823,
8.3923, 0.0000, 143.7535,
7.9490, 0.0000, 143.4923,
7.5398, 0.0000, 143.2021,
7.0857, 0.0000, 142.8849,
6.6716, 0.0000, 142.5415,
6.2634, 0.0000, 142.1766,
5.7908, 0.0000, 141.7895,
5.4206, 0.0000, 141.3830,
4.9802, 0.0000, 140.9598,
4.6199, 0.0000, 140.5191,
4.2390, 0.0000, 140.0635,
3.9128, 0.0000, 139.5948,
3.5827, 0.0000, 139.1120,
3.2986, 0.0000, 138.6181,
3.0359, 0.0000, 138.1149,
2.7976, 0.0000, 137.5998,
2.5456, 0.0000, 137.0748,
2.1941, 0.0000, 136.5432,
1.9636, 0.0000, 136.0043,
1.7409, 0.0000, 135.4591,
1.5661, 0.0000, 134.9075,
1.4636, 0.0000, 134.3507,
1.3279, 0.0000, 133.7910,
1.2048, 0.0000, 133.2233,
1.1355, 0.0000, 132.6532,
0.9822, 0.0000, 132.0807,
0.8865, 0.0000, 131.5052,
0.8767, 0.0000, 130.9282,
0.7488, 0.0000, 130.3492,
0.6921, 0.0000, 129.7686,
0.6531, 0.0000, 129.1862,
0.5622, 0.0000, 128.6035,
0.4714, 0.0000, 128.0220,
0.4089, 0.0000, 127.4402,
0.3913, 0.0000, 126.8574,
0.3288, 0.0000, 126.2774,
0.2322, 0.0000, 125.6996,
0.2165, 0.0000, 125.1209,
0.1677, 0.0000, 124.5424,
0.0808, 0.0000, 123.9668,
0.0886, 0.0000, 123.3912,
0.0075, 0.0000, 122.8184,
0.0095, 0.0000, 122.2455,
-0.0520, 0.0000, 121.6749,
-0.0813, 0.0000, 121.1077,
-0.1145, 0.0000, 120.5404,
-0.1282, 0.0000, 119.9763,
-0.2288, 0.0000, 119.4156,
-0.2122, 0.0000, 118.8552,
-0.2405, 0.0000, 118.2972,
-0.2913, 0.0000, 117.7424,
-0.3352, 0.0000, 117.1899,
